class,samples,percentage,status
Anthracnose,500,12.50%,✓ Good
Bacterial Canker,500,12.50%,✓ Good
Cutting Weevil,500,12.50%,✓ Good
Die Back,500,12.50%,✓ Good
Gall Midge,500,12.50%,✓ Good
Healthy,500,12.50%,✓ Good
Powdery Mildew,500,12.50%,✓ Good
Sooty Mould,500,12.50%,✓ Good
